日本語;Romaji;Cara Baca;インドネシア語;Page;Furigana Segment
窒息;Chissoku;ちっそく;Sesak Napas, Kekurangan Oksigen, Asfiksia;95;窒:ちっ|息:そく
鎮火;Chinka;ちんか;Pemadaman, Penanganan Kebakaran, Pengendalian Api;95;鎮:ちん|火:か
位置表示灯;Ichihyōjitō;いちひょうじとう;Lampu Indikator Posisi, Lampu Penunjuk Posisi, Lampu Indikasi Posisi;95;位:い|置:ち|表:ひょう|示:じ|灯:とう
起動;Kidō;きどう;Aktivasi, Pengaktifan, Memulai;95;起:き|動:どう
フリッカー;Furikā;フリッカー;Flicker, Kedipan, Fluktuasi Cahaya;95;
発信機;Hasshinki;はっしんき;Pemancar, Transmitter, Alat Pengirim Sinyal;95;発:はっ|信:しん|機:き
自火報;Jikahō;じかほう;Alarm Kebakaran Otomatis, Sistem Alarm Kebakaran Otomatis, Detektor Kebakaran Otomatis;95;自:じ|火:か|報:ほう
兼用;Ken'yō;けんよう;Serbaguna, Multifungsi, Digunakan untuk Beberapa Tujuan;95;兼:けん|用:よう
開閉弁;Kaihei Ben;かいへいべん;Katup Buka Tutup, Katup Pengatur, Katup Kontrol;95;開:かい|閉:へい|弁:べん
消防用ホース;Shōbō-yō Hōsu;しょうぼうようホース;Selang Pemadam Kebakaran, Hose Pemadam Kebakaran, Selang untuk Pemadam Kebakaran;95;消:しょう|防:ぼう|用:よう
消火栓;Shōkasen;しょうかせん;Hydrant, Pemadam Kebakaran, Alat Pemadam Kebakaran;95;消:しょう|火:か|栓:せん
発信器;Hasshinki;はっしんき;Pemancar, Transmitter, Alat Pengirim Sinyal;95;発:はっ|信:しん|器:き
始動;Shidō;しどう;Memulai, Mengaktifkan, Pengaktifan;95;始:し|動:どう
表示灯;Hyōjitō;ひょうじとう;Lampu Indikator, Lampu Penunjuk, Lampu Indikasi;95;表:ひょう|示:じ|灯:とう
点滅;Tenmetsu;てんめつ;Kedip, Berkedip, Fluktuasi Cahaya;95;点:てん|滅:めつ
鳴動;Meidō;めいどう;Bunyi, Suara, Getaran;95;鳴:めい|動:どう
伸ばす;Nobasu;のばす;Memperpanjang, Meningkatkan, Memanjangkan;95;伸:の
放水体制;Hōsui Taisei;ほうすいたいせい;Sistem Penyemprotan Air, Sistem Pengeluaran Air, Sistem Aliran Air;95;放:ほう|水:すい|体:たい|制:せい
バルブ;Barubu;バルブ;Valve, Katup, Klep;95;
開放操作;Kaihō Sōsa;かいほうそうさ;Operasi Pembukaan, Pengoperasian Pembukaan, Cara Membuka;95;開:かい|放:ほう|操:そう|作:さ
延長操作;Enchō Sōsa;えんちょうそうさ;Operasi Perpanjangan, Pengoperasian Perpanjangan, Cara Memperpanjang;95;延:えん|長:ちょう|操:そう|作:さ
連動する;Rendō suru;れんどうする;Bekerja Bersama, Beroperasi Bersama, Berfungsi Bersama;95;連:れん|動:どう
開閉装置付;Kaihei Sōchi-tsuki;かいへいそうちつき;Dengan Perangkat Buka Tutup, Dilengkapi dengan Perangkat Buka Tutup, Dengan Alat Buka Tutup;95;開:かい|閉:へい|装:そう|置:ち|付:つき
保形ホース;Hokei Hōsu;ほけいホース;Selang Berbentuk, Hose Berbentuk, Selang dengan Bentuk Tertentu;95;保:ほ|形:けい|ホース;
安定栓;Anteisen;あんていせん;Katup Stabil, Valve Stabil, Klep Stabil;95;安:あん|定:てい|栓:せん
圧力ゲージ;Atsuryoku Gēji;あつりょくゲージ;Pengukur Tekanan, Pressure Gauge, Alat Ukur Tekanan;95;圧:あつ|力:りょく
レバー;Rebā;レバー;Lever, Tuas, Pengungkit;95;
ホース;Hōsu;ホース;Selang, Hose;95;
内管;Naikan;ないかん;Pipa Dalam, Saluran Dalam, Pipa Internal;95;内:ない|管:かん
蓄圧式消火器;Chikuatsu-shiki Shōkaki;ちくあつしきしょうかき;Alat Pemadam Kebakaran Tipe Tekanan Tersimpan, Fire Extinguisher Tipe Tekanan Tersimpan, Alat Pemadam Api dengan Tekanan Tersimpan;95;蓄:ちく|圧:あつ|式:しき|消:しょう|火:か|器:き
加圧式ガス容器;Kaatsu-shiki Gasu Yōki;かあつしきガスようき;Tabung Gas Tipe Tekanan, Gas Cylinder Tipe Tekanan, Wadah Gas dengan Tekanan;95;加:か|圧:あつ|式:しき|容:よう|器:き
ガス導入管;Gasu Dōnyūkan;ガスどうにゅうかん;Pipa Masuk Gas, Saluran Masuk Gas, Pipa Pemasukan Gas;95;ガス|導:どう|入:にゅう|管:かん
加圧式消火器;Kaatsu-shiki Shōkaki;かあつしきしょうかき;Alat Pemadam Kebakaran Tipe Tekanan, Fire Extinguisher Tipe Tekanan, Alat Pemadam Api dengan Tekanan;95;加:か|圧:あつ|式:しき|消:しょう|火:か|器:き

スプリンクラー設備;Supurinkurā Setsubi;スプリンクラーせつび;Peralatan Sprinkler, Sistem Sprinkler, Perlengkapan Sprinkler;97;設:せつ|備:び
初期消火;Shoki Shōka;しょきしょうか;Pemadaman Awal, Pemadam Kebakaran Awal, Penanganan Kebakaran Awal;97;初:しょ|期:き|消:しょう|火:か
又は;Matawa;または;Atau, Ataupun, Serta;97;又：また
屋根下部分;Yaneshita Bubun;やねしたぶぶん;Bagian Bawah Atap, Area Bawah Atap, Bagian di Bawah Atap;97;屋:や|根:ね|下:した|部:ぶ|分:ぶん
配置する;Haichi suru;はいちする;Menempatkan, Mengatur, Menyusun;97;配:はい|置:ち
スプリンクラーヘッド;Supurinkurā Heddo;スプリンクラーヘッド;Kepala Sprinkler, Kepala Pemadam Kebakaran, Kepala Alat Pemadam Api;97;
火災感知;Kasai Kanchi;かさいかんち;Deteksi Kebakaran, Sensor Kebakaran, Alat Deteksi Api;97;火:か|災:さい|感:かん|知:ち
放水;Hōsui;ほうすい;Penyemprotan Air, Pengeluaran Air, Aliran Air;97;放:ほう|水:すい
閉鎖型湿式;Heisa-gata Shitsushiki;へいさがたしつしき;Tipe Tertutup Basah, Sistem Basah Tipe Tertutup, Alat Pemadam Kebakaran Basah Tipe Tertutup;97;閉:へい|鎖:さ|型:がた|湿:しつ|式:しき
電算機室;Densanki Shitsu;でんさんきしつ;Ruang Komputer, Ruang Server, Ruang Data Center;97;電:でん|算:さん|機:き|室:しつ
閉鎖型予作動式;Heisa-gata Yosadō-shiki;へいさがたよさどうしき;Tipe Tertutup dengan Sistem Predeteksi, Sistem Tertutup dengan Predeteksi, Alat Pemadam Kebakaran Tertutup dengan Sistem Predeteksi;97;閉:へい|鎖:さ|型:がた|予:よ|作:さ|動:どう|式:しき
寒冷地用;Kanreichi-yō;かんれいちよう;Untuk Daerah Dingin, Tipe untuk Daerah Dingin, Alat untuk Daerah Dingin;97;寒:かん|冷:れい|地:ち|用:よう
閉鎖型乾式;Heisa-gata Kanshiki;へいさがたかんしき;Tipe Tertutup Kering, Sistem Kering Tipe Tertutup, Alat Pemadam Kebakaran Kering Tipe Tertutup;97;閉:へい|鎖:さ|型:がた|乾:かん|式:しき
舞台部;Butai-bu;ぶたいぶ;Area Panggung, Bagian Panggung, Ruang Panggung;97;舞:ぶ|台:たい|部:ぶ
開放型;Kaihō-gata;かいほうがた;Tipe Terbuka, Sistem Terbuka, Alat Pemadam Kebakaran Tipe Terbuka;97;開:かい|放:ほう|型:がた
地下水槽;Chikasuisō;ちかすいそう;Tangki Air Bawah Tanah, Wadah Air Bawah Tanah, Bak Air Bawah Tanah;97;地:ち|下:か|水:すい|槽:そう
水源;Suigen;すいげん;Sumber Air, Sumber Air, Sumber Air;97;水:すい|源:げん
加圧送水装置;Kaatsu Sōsui Sōchi;かあつそうすいそうち;Peralatan Penyemprotan Air Bertekanan, Sistem Penyemprotan Air Bertekanan, Alat Semprot Air Bertekanan;97;加:か|圧:あっ|送:そう|水:すい|装:そう|置:ち
自動警報装置;Jidō Keihō Sōchi;じどうけいほうそうち;Peralatan Alarm Otomatis, Sistem Alarm Otomatis, Alat Peringatan Otomatis;97;自:じ|動:どう|警:けい|報:ほう|装:そう|置:ち
流水検知装置;Ryūsui Kenchi Sōchi;りゅうすいけんちそうち;Peralatan Deteksi Aliran Air, Sistem Deteksi Aliran Air, Alat Pendeteksi Aliran Air;97;流:りゅう|水:すい|検:けん|知:ち|装:そう|置:ち
表示装置;Hyōji Sōchi;ひょうじそうち;Peralatan Indikator, Sistem Indikator, Alat Penunjuk;97;表:ひょう|示:じ|装:そう|置:ち
警報装置;Keihō Sōchi;けいほうそうち;Peralatan Alarm, Sistem Alarm, Alat Peringatan;97;警:けい|報:ほう|装:そう|置:ち
送水口;Sōsuikō;そうすいこう;Lubang Penyemprotan, Saluran Penyemprotan, Pipa Penyemprotan;97;送:そう|水:すい|口:こう
弁類;Benrui;べんるい;Jenis Katup, Tipe Katup, Kategori Katup;97;弁:べん|類:るい
非常電源;Hijō Dengen;ひじょうでんげん;Sumber Daya Darurat, Sumber Listrik Darurat, Power Supply Darurat;97;非:ひ|常:じょう|電:でん|源:げん
構成;Kōsei;こうせい;Komposisi, Struktur, Susunan;97;構:こう|成:せい
定める;Sadameru;さだめる;Menetapkan, Menentukan, Mengatur;97;定:さだ
補助高架水槽;Hojo Kōka Suisō;ほじょこうかすいそう;Tangki Air Tinggi Bantuan, Wadah Air Tinggi Bantuan, Bak Air Tinggi Bantuan;97;補:ほ|助:じょ|高:こう|架:か|水:すい|槽:そう
デフレクター;Defurekutā;デフレクター;Deflektor, Pengarah Aliran, Alat Pengarah;97;
圧力計;Atsuryoku Kei;あつりょくけい;Pengukur Tekanan, Pressure Gauge, Alat Ukur Tekanan;97;圧:あつ|力:りょく|計:けい
圧力スイッチ;Atsuryoku Suicchi;あつりょくスイッチ;Saklar Tekanan, Pressure Switch, Alat Pengatur Tekanan;97;圧:あつ|力:りょく
消火ポンプユニット;Shōka Ponpu Yunitto;しょうかポンプユニット;Unit Pompa Pemadam Kebakaran, Unit Pompa Pemadam Api, Sistem Pompa Pemadam Kebakaran;97;消:しょう|火:か|ポンプ|ユニット

一般照明;Ippan Shōmei;いっぱんしょうめい;Penerangan Umum, Pencahayaan Umum, Lampu Umum;109;一般:いっぱん|照:しょう|明:めい
照明器具;Shōmei Kigu;しょうめいきぐ;Perlengkapan Penerangan, Peralatan Pencahayaan, Lampu;109;照:しょう|明:めい|器:き|具:ぐ
用途;Yōto;ようと;Penggunaan, Tujuan, Fungsi;109;用:よう|途:と
明るさ;Akarusa;あかるさ;Kecerahan, Tingkat Kecerahan, Intensitas Cahaya;109;明:あか|るさ
光源;Kōgen;こうげん;Sumber Cahaya, Sumber Penerangan, Sumber Lampu;109;光:こう|源:げん
電流;Denryū;でんりゅう;Arus Listrik, Aliran Listrik, Kekuatan Arus;109;電:でん|流:りゅう
抵抗;Teikō;ていこう;Resistansi, Hambatan, Tahanan;109;抵:てい|抗:こう
白熱灯;Hakunetsutō;はくねつとう;Lampu Pijar, Incandescent Lamp, Lampu dengan Filamen yang Memanas;109;白:はく|熱:ねつ|灯:とう
ハロゲン灯;Harogen-tō;ハロゲンとう;Lampu Halogen, Halogen Lamp, Lampu dengan Gas Halogen;109;灯:とう
放電;Hōden;ほうでん;Pelepasan Listrik, Pelepasan Arus, Discharge;109;放:ほう|電:でん
蛍光灯;Keikōtō;けいこうとう;Lampu Neon, Lampu Fluoresen, Fluorescent Lamp, Lampu dengan Gas Fluoresen;109;蛍:けい|光:こう|灯:とう
水銀灯;Suigin-tō;すいぎんとう;Lampu Merkuri, Mercury Lamp, Lampu dengan Gas Merkuri;109;水:すい|銀:ぎん|灯:とう
ナトリウム灯;Natoriumu-tō;ナトリウムとう;Lampu Natrium, Sodium Lamp, Lampu dengan Gas Natrium;109;灯:とう
メタルハライド灯;Metaruharaido-tō;メタルハライドとう;Lampu Metal Halide, Metal Halide Lamp, Lampu dengan Gas Metal Halide;109;灯:とう
半導体;Handōtai;はんどうたい;Semikonduktor, Komponen Elektronik, Alat Semikonduktor;109;半:はん|導:どう|体:たい
LED灯;LED-tō;LEDとう;Lampu LED, LED Lamp, Lampu dengan Teknologi LED;109;灯:とう
電球;Denkyū;でんきゅう;Bohlam, Lampu, Bola Lampu;109;電:でん|球:きゅう
光;Hikari;ひかり;Cahaya, Sinar, Penerangan;109;光:ひかり
発する;Hassuru;はっする;Menghasilkan, Memancarkan, Mengeluarkan;109;発:はっ
白熱電球;Hakunetsu Denkyū;はくねつでんきゅう;Bohlam Pijar, Incandescent Bulb, Lampu dengan Filamen yang Memanas;109;白:はく|熱:ねつ|電:でん|球:きゅう
寿命;Jumyō;じゅみょう;Umur, Masa Pakai, Usia;109;寿:じゅ|命:みょう
効率;Kōritsu;こうりつ;Efisiensi, Keefektifan, Rasio Efisiensi;109;効:こう|率:りつ
一部;Ichibu;いちぶ;Bagian, Sebagian, Satu Bagian;109;一:いち|部:ぶ
生産中止;Seisan Chūshi;せいさんちゅうし;Penghentian Produksi, Henti Produksi, Tidak Diproduksi Lagi;109;生:せい|産:さん|中:ちゅう|止:し
応じる;Ōjiru;おうじる;Menanggapi, Merespon, Sesuai dengan;109;応:おう
検討;Kento;けんとう;Pertimbangan, Pembahasan, Evaluasi;109;検:けん|討:とう
安定器;Anteiki;あんていき;Ballast, Stabilizer, Alat Penstabil;109;安:あん|定:てい|器:き
一種;Isshu;いっしゅ;Satu Jenis, Tipe, Kategori;109;一:いち|種:しゅ
変圧器;Hen'atsuki;へんあつき;Transformer, Alat Pengubah Tegangan, Perangkat Transformasi;109;変:へん|圧:あつ|器:き
内蔵する;Naizō suru;ないぞうする;Tertanam, Terintegrasi, Dibangun di Dalam;109;内:ない|蔵:ぞう
蛍光管;Keikōkan;けいこうかん;Tabung Fluoresen, Fluorescent Tube, Lampu Tabung Fluoresen;109;蛍:けい|光:こう|管:かん
点灯する;Tentō suru;てんとうする;Menyalakan, Menghidupkan, Nyalakan;109;点:てん|灯:とう
グローランプ;Gurōranpu;グローランプ;Glow Lamp, Lampu Glow, Lampu Pemanas untuk Tabung Fluoresen;109;
グロースタート型;Gurō Sutāto-gata;グロースタートがた;Tipe Glow Start, Sistem Glow Start, Alat Pemanas Tipe Glow Start;109;型:がた
水銀;Suigin;すいぎん;Merkuri, Mercury;109;水:すい|銀:ぎん
防止;Bōshi;ぼうし;Pencegahan, Penghindaran, Perlindungan;109;防:ぼう|止:し
法律;Hōritsu;ほうりつ;Hukum, Undang-Undang, Peraturan;109;法:ほう|律:りつ
関係;Kankei;かんけい;Hubungan, Keterkaitan, Relasi;109;関:かん|係:けい
大手各社;Ōte Kakusha;おおてかくしゃ;Perusahaan Besar, Perusahaan Utama, Perusahaan Terkemuka;109;大:おお|手:て|各:かく|社:しゃ
製造;Seizō;せいぞう;Pembuatan, Produksi,Manufacturing;109;製:せい|造:ぞう
中止する;Chūshi suru;ちゅうしする;Menghentikan, Membatalkan, Tidak Melanjutkan;109;中:ちゅう|止:し
解説;Kaisetsu;かいせつ;Penjelasan, Uraian, Keterangan;109;解:かい|説:せつ
参照する;Sanshō suru;さんしょうする;Merujuk, Mengacu, Referensi;109;参:さん|照:しょう
フィラメント;Firamento;フィラメント;Filamen, Elemen Pemanas, Bahan yang Memanas dalam Lampu Pijar;109;
電球発光;Denkyū Hakkō;でんきゅうはっこう;Penerangan dengan Bohlam, Penerangan dengan Lampu Pijar, Cahaya dari Bohlam;109;電:でん|球:きゅう|発:はっ|光:こう
電子;Denshi;でんし;Elektron, Partikel Elektron, Muatan Negatif;109;電:でん|子:し
電極;Denkyoku;でんきょく;Elektroda, Kutub, Terminal;109;電:でん|極:きょく
水銀ガス;Suigin Gasu;すいぎんガス;Gas Merkuri, Merkuri Gas, Gas dengan Kandungan Merkuri;109;水:すい|銀:ぎん|ガス
紫外線;Shigaisen;しがいせん;Sinar Ultraviolet, UV, Sinar UV;109;紫:し|外:がい|線:せん
蛍光塗料;Keikō Toryō;けいこうとりょう;Cat Fluoresen, Cat Penerangan, Cat yang Memancarkan Cahaya;109;蛍:けい|光:こう|塗:と|料:りょう

非常用照明;Hijō-yō Shōmei;ひじょうようしょうめい;Penerangan Darurat, Lampu Darurat, Sistem Penerangan Darurat;111;非:ひ|常:じょう|用:よう|照:しょう|明:めい
非常用照明器具;Hijō-yō Shōmei Kigu;ひじょうようしょうめいきぐ;Perlengkapan Penerangan Darurat, Alat Penerangan Darurat, Lampu Darurat;111;非:ひ|常:じょう|用:よう|照:しょう|明:めい|器:き|具:ぐ
災害;Saigai;さいがい;Bencana, Musibah, Malapetaka;111;災:さい|害:がい
停電;Teiden;ていでん;Pemadaman Listrik, Mati Listrik, Gangguan Listrik;111;停:てい|電:でん
速やかに;Sumiyaka ni;すみやかに;Segera, Dengan Cepat, Secepatnya;111;速:すみ
避難;Hinan;ひなん;Evakuasi, Pengungsian, Tempat Perlindungan;111;避:ひ|難:なん
通路;Tsūro;つうろ;Koridor, Lorong, Jalur;111;通:つう|路:ろ
照らし出す;Terashidasu;てらしだす;Menerangi, Menyoroti, Memancarkan Cahaya;111;照:て|出:だ
蓄電池内蔵型;Chikudenchi Naizō-gata;ちくでんちないぞうがた;Tipe dengan Baterai Tersimpan, Alat dengan Baterai Internal, Sistem dengan Baterai Terintegrasi;111;蓄:ちく|電:でん|池:ち|内:ない|蔵:ぞう|型:がた
別置型;Betsuchi-gata;べっちがた;Tipe Terpisah, Sistem Terpisah, Alat dengan Penempatan Terpisah;111;別:べつ|置:ち|型:がた
内蔵型;Naizō-gata;ないぞうがた;Tipe Tersimpan, Sistem Tersimpan, Alat dengan Baterai Internal;111;内:ない|蔵:ぞう|型:がた
充電装置;Jūden Sōchi;じゅうでんそうち;Peralatan Pengisian, Sistem Pengisian, Alat Pengisi Daya;111;充:じゅう|電:でん|装:そう|置:ち
一箇所;Ikkasho;いっかしょ;Satu Tempat, Satu Lokasi, Satu Area;111;一:いっ|箇:か|所:しょ
設ける;Mōkeru;もうける;Menyediakan, Menempatkan, Memasang;111;設:もう
配線;Haisen;はいせん;Pengkabelan, Wiring, Sistem Kabel;111;配:はい|線:せん
常時;Jōji;じょうじ;Selalu, Secara Terus-Menerus, Setiap Saat;111;常:じょう|時:じ
充電状態;Jūden Jōtai;じゅうでんじょうたい;Status Pengisian, Kondisi Pengisian, Keadaan Pengisian;111;充:じゅう|電:でん|状:じょう|態:たい
切り替わる;Kirigawaru;きりかわる;Beralih, Berubah, Berganti;111;切:き|替:か
点灯する;Tentō suru;てんとうする;Menyalakan, Menghidupkan, Nyalakan;111;点:てん|灯:とう
点検用;Tenken-yō;てんけんよう;Untuk Pemeriksaan, Alat untuk Inspeksi, Perlengkapan untuk Pemeriksaan;111;点:てん|検:けん|用:よう
不良;Furyō;ふりょう;Rusak, Cacat, Tidak Berfungsi;111;不:ふ|良:りょう
内蔵蓄電池;Naizō Chikudenchi;ないぞうちくでんち;Baterai Internal, Baterai Tersimpan, Baterai yang Dibangun di Dalam;111;内:ない|蔵:ぞう|蓄:ちく|電:でん|池:ち
寿命;Jumyō;じゅみょう;Umur, Masa Pakai, Usia;111;寿:じゅ|命:みょう
通常;Tsūjō;つうじょう;Normal, Biasa, Umum;111;通:つう|常:じょう
程度;Teido;ていど;Tingkat, Derajat, Skala;111;程:てい|度:ど
正常に;Seijō ni;せいじょうに;Normal, Berfungsi dengan Baik, Dalam Kondisi Normal;111;正:せい|常:じょう
点検スイッチ;Tenken Suicchi;てんけんスイッチ;Saklar Pemeriksaan, Switch Inspeksi, Alat untuk Memeriksa;111;点:てん|検:けん
自動復帰形;Jidō Fukki-gata;じどうふっきがた;Tipe Pemulihan Otomatis, Sistem Pemulihan Otomatis, Alat dengan Fungsi Pemulihan Otomatis;111;自:じ|動:どう|復:ふ|帰:き|形:がた
充電モニター;Jūden Monitā;じゅうでんモニター;Monitor Pengisian, Alat Pemantau Pengisian, Sistem Pemantauan Pengisian;111;充:じゅう|電:でん|モニター
公共施設用;Kōkyō Shisetsu-yō;こうきょうしせつよう;Untuk Fasilitas Umum, Tipe untuk Fasilitas Umum, Alat untuk Fasilitas Umum;111;公:こう|共:きょう|施:し|設:せつ|用:よう
代表的な;Daihōteki na;だいほうてきな;Representatif, Tipe Umum, Contoh Umum;111;代:だい|表:ひょう|的:てき

誘導灯;Yūdōtō;ゆうどうとう;Lampu Petunjuk, Lampu Panduan, Lampu Evakuasi;113;誘:ゆう|導:どう|灯:とう
避難経路;Hinan Keiro;ひなんけいろ;Rute Evakuasi, Jalur Evakuasi, Rute Pengungsian;113;避:ひ|難:なん|経:けい|路:ろ
点灯;Tentō;てんとう;Menyalakan, Menghidupkan, Nyalakan;113;点:てん|灯:とう
常用電源;Jōyō Dengen;じょうようでんげん;Sumber Daya Utama, Sumber Listrik Utama, Power Supply Utama;113;常:じょう|用:よう|電:でん|源:げん
充電式;Jūden-shiki;じゅうでんしき;Tipe Pengisian, Sistem Pengisian, Alat dengan Fungsi Pengisian;113;充:じゅう|電:でん|式:しき
内蔵する;Naizō suru;ないぞうする;Tertanam, Terintegrasi, Dibangun di Dalam;113;内:ない|蔵:ぞう
本体下部;Hontai Kabu;ほんたいかぶ;Bagian Bawah Unit, Area Bawah Perangkat, Bagian di Bawah Alat;113;本:ほん|体:たい|下:か|部:ぶ
紐;Himo;ひも;Tali, Tali Tarik, Tali Penarik;113;紐:ひも
操作する;Sōsa suru;そうさする;Mengoperasikan, Menjalankan, Melakukan Operasi;113;操:そう|作:さ
消防法;Shōbōhō;しょうぼうほう;Hukum Pemadam Kebakaran, Undang-Undang Pemadam Kebakaran, Peraturan Pemadam Kebakaran;113;消:しょう|防:ぼう|法:ほう
施行規則;Shikō Kisoku;しこうきそく;Peraturan Pelaksanaan, Aturan Pelaksanaan, Peraturan Eksekusi;113;施:し|行:こう|規:き|則:そく
検査報告;Kensa Hōkoku;けんさほうこく;Laporan Inspeksi, Laporan Pemeriksaan, Hasil Pemeriksaan;113;検:けん|査:さ|報:ほう|告:こく
定める;Sadameru;さだめる;Menetapkan, Menentukan, Mengatur;113;定:さだ
表示面輝度;Hyōjimen Kido;ひょうじめんきど;Kecerahan Permukaan Tampilan, Luminansi Permukaan Tampilan, Tingkat Kecerahan Permukaan Tampilan;113;表:ひょう|示:じ|面:めん|輝:き|度:ど
確保;Kakuhō;かくほ;Menjamin, Memastikan, Mengamankan;113;確:かく|保:ほ
要件;Yōken;ようけん;Persyaratan, Kebutuhan, Kondisi;113;要:よう|件:けん
予備電源;Yobi Dengen;よびでんげん;Sumber Daya Cadangan, Sumber Listrik Cadangan, Power Supply Cadangan;113;予:よ|備:び|電:でん|源:げん
連続;Renzoku;れんぞく;Kontinu, Berkelanjutan, Terus-Menerus;113;連:れん|続:ぞく
長期間;Chōkikan;ちょうきかん;Periode Panjang, Jangka Waktu Lama, Durasi Panjang;113;長:ちょう|期:き|間:かん
定格型器具;Teikaku-gata Kigu;ていかくがたきぐ;Peralatan Tipe Berperingkat, Alat dengan Peringkat Tertentu, Perlengkapan dengan Spesifikasi Tertentu;113;定:てい|格:かく|型:がた|器:き|具:ぐ

コンセント;Konsento;コンセント;Stop Kontak, Soket Listrik, Colokan Listrik;117;
一般用;Ippan-yō;いっぱんよう;Untuk Umum, Tipe Umum, Alat untuk Penggunaan Umum;117;一:いっ|般:ぱん|用:よう
電力機器;Denryoku Kiki;でんりょくきき;Peralatan Listrik, Perangkat Listrik, Alat Tenaga Listrik;117;電:でん|力:りょく|機:き|器:き
専用;Sen'yō;せんよう;Eksklusif, Khusus, Hanya untuk;117;専:せん|用:よう
差し込み口;Sashikomi Guchi;さしこみぐち;Lubang Colokan, Soket, Tempat Colokan;117;差:さ|込:こ|口:ぐち
抜け止め式;Nukedome-shiki;ぬけどめしき;Tipe Pengunci, Sistem Pengunci, Alat dengan Fungsi Pengunci;117;抜:ぬ|止:ど|式:しき
接地端子;Setchi Tanshi;せっちたんし;Terminal Grounding, Terminal Pembumian, Alat untuk Grounding;117;接:せっ|地:ち|端:たん|子:し
事務機;Jimuki;じむき;Peralatan Kantor, Alat Kantor, Mesin Kantor;117;事:じ|務:む|機:き
電流;Denryū;でんりゅう;Arus Listrik, Aliran Listrik, Kekuatan Arus;117;電:でん|流:りゅう
定格;Teikaku;ていかく;Peringkat, Spesifikasi, Rating;117;定:てい|格:かく
超えない;Koenai;こえない;Tidak Melebihi, Tidak Melampaui, Tidak Melebihi Batas;117;超:こ
電線;Densen;でんせん;Kabel Listrik, Kabel, Saluran Listrik;117;電:でん|線:せん
電灯分電盤;Dentō Bundenban;でんとうぶんでんばん;Panel Distribusi Lampu, Panel Distribusi Penerangan, Panel Listrik untuk Lampu;117;電:でん|灯:とう|分:ぶん|電:でん|盤:ばん
配線用遮断器;Haisen-yō Shadan-ki;はいせんようしゃだんき;Pemutus Sirkuit untuk Pengkabelan, Circuit Breaker untuk Wiring, Alat Pemutus Arus untuk Kabel;117;配:はい|線:せん|用:よう|遮:しゃ|断:だん|器:き
ブレーカー;Burēkā;ブレーカー;Breaker, Pemutus Arus, Circuit Breaker;117;
延長する;Enchō suru;えんちょうする;Memperpanjang, Melanjutkan, Menambah Panjang;117;延:えん|長:ちょう
延長コード;Enchō Kōdo;えんちょうコード;Kabel Perpanjangan, Extension Cord, Kabel Ekstensi;117;延:えん|長:ちょう
柱;Hashira;はしら;Tiang, Kolom, Pilar;117;柱:はしら
ステップル;Sutepuru;ステップル;Staple, Penjepit, Alat Penjepit;117;
釘;Kugi;くぎ;Paku, Paku Kayu, Alat untuk Menancapkan;117;釘:くぎ
固定する;Kotei suru;こていする;Memperbaiki, Menetapkan, Mengamankan;117;固:こ|定:てい
好ましい;Konomashii;このましい;Diinginkan, Disukai, Preferensi;117;好:この
タコ足配線;Takoashi Haisen;たこあしはいせん;Pengkabelan Berbentuk Gurita, Kabel Ekstensi dengan Banyak Cabang, Wiring dengan Banyak Soket;117;足:あし|配:はい|線:せん
束ねる;Tabaneru;たばねる;Mengikat, Mengumpulkan, Menyusun;117;束:たば
発熱;Hatsunetsu;はつねつ;Panas, Penghasil Panas, Menghasilkan Panas;117;発:はつ|熱:ねつ
発火;Hakka;はっか;Pembakaran, Menyala, Terbakar;117;発:はっ|火:か
増設;Zōsetsu;ぞうせつ;Penambahan, Ekspansi, Pemasangan Tambahan;117;増:ぞう|設:せつ
依頼;Irai;いらい;Permintaan, Permohonan, Tugas;117;依:い|頼:らい
回路;Kairo;かいろ;Sirkuit, Rangkaian, Jalur Listrik;117;回:かい|路:ろ

電灯分電盤;Dentō Bundenban;でんとうぶんでんばん;Panel Distribusi Lampu, Panel Distribusi Penerangan, Panel Listrik untuk Lampu;117;電:でん|灯:とう|分:ぶん|電:でん|盤:ばん
動力盤;Dōryoku Ban;どうりょくばん;Panel Daya, Panel Listrik untuk Peralatan Berat, Panel Distribusi Tenaga;119;動:どう|力:りょく|盤:ばん
電灯;Dentō;でんとう;Lampu, Penerangan, Cahaya;119;電:でん|灯:とう
分配する;Bunpai suru;ぶんぱいする;Mendistribusikan, Membagi, Menyalurkan;119;分:ぶん|配:ぱい
規模;Kibo;きぼ;Skala, Ukuran, Besaran;119;規:き|模:ぼ
配線室;Haisen Shitsu;はいせんしつ;Ruang Kabel, Ruang Pengkabelan, Ruang Wiring;119;配:はい|線:せん|室:しつ
銅製;Dōsei;どうせい;Terbuat dari Tembaga, Bahan Tembaga, Material Tembaga;119;銅:どう|製:せい
配線用遮断器;Haisen-yō Shadan-ki;はいせんようしゃだんき;Pemutus Sirkuit untuk Pengkabelan, Circuit Breaker untuk Wiring, Alat Pemutus Arus untuk Kabel;119;配:はい|線:せん|用:よう|遮:しゃ|断:だん|器:き
漏電遮断器;Rōden Shadan-ki;ろうでんしゃだんき;Pemutus Arus Bocor, Ground Fault Circuit Breaker, Alat Pemutus Arus untuk Kebocoran Listrik;119;漏:ろう|電:でん|遮:しゃ|断:だん|器:き
